epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,143.508,2.39015,2.26413,1.18517,0.02447,0.75051,0.02687,0.00918,2.1528,3.42422,1.12396,0.00065,0.00065,0.00065
2,277.747,2.17614,1.48544,1.13867,0.02863,0.87832,0.15204,0.05314,2.08496,3.32643,1.10919,0.0012906,0.0012906,0.0012906
3,413.802,2.22792,1.46227,1.15273,0.4366,0.38753,0.30492,0.09201,2.39375,2.16204,1.24309,0.00190479,0.00190479,0.00190479
4,548.569,2.18727,1.42691,1.12896,0.65083,0.59509,0.6122,0.22192,2.08502,1.65489,1.12482,0.0018812,0.0018812,0.0018812
5,684.508,2.13576,1.30391,1.12322,0.69696,0.64724,0.65984,0.25732,2.0102,1.45767,1.1182,0.0018416,0.0018416,0.0018416
6,816.093,2.09068,1.25519,1.11716,0.74442,0.67382,0.73843,0.30583,1.97543,1.46442,1.10053,0.001802,0.001802,0.001802
7,947.87,2.11257,1.25927,1.12134,0.72619,0.58691,0.67786,0.25532,2.05503,1.33736,1.10294,0.0017624,0.0017624,0.0017624
8,1079.36,2.09724,1.25028,1.10995,0.7435,0.64008,0.71973,0.28152,1.98443,1.28377,1.08932,0.0017228,0.0017228,0.0017228
9,1216.34,2.05704,1.21038,1.09724,0.76583,0.69553,0.75072,0.30939,1.99662,1.21378,1.10841,0.0016832,0.0016832,0.0016832
10,1377.19,2.03032,1.19216,1.09422,0.80254,0.65951,0.74121,0.3122,1.96752,1.20139,1.09568,0.0016436,0.0016436,0.0016436
11,1532.68,2.00015,1.15394,1.0936,0.77789,0.66871,0.75228,0.32001,1.91931,1.14981,1.07742,0.001604,0.001604,0.001604
12,1679.98,2.01698,1.1128,1.10402,0.75991,0.70245,0.75247,0.30496,1.98384,1.21693,1.09584,0.0015644,0.0015644,0.0015644
13,1832.89,1.94347,1.09188,1.07261,0.77826,0.72086,0.78143,0.33174,1.92099,1.0902,1.0771,0.0015248,0.0015248,0.0015248
14,1984.79,1.9916,1.09149,1.06705,0.74866,0.68405,0.74815,0.31676,1.97738,1.1317,1.09616,0.0014852,0.0014852,0.0014852
15,2132.28,1.94919,1.09474,1.07537,0.80249,0.71779,0.80136,0.34026,1.90428,1.06267,1.08328,0.0014456,0.0014456,0.0014456
16,2269.57,1.96198,1.06392,1.0751,0.78752,0.66973,0.73719,0.31623,1.99681,1.10452,1.11395,0.001406,0.001406,0.001406
17,2401.39,1.9602,1.05657,1.07982,0.81817,0.70852,0.77868,0.33203,1.92194,1.09223,1.08378,0.0013664,0.0013664,0.0013664
18,2534.88,1.94495,1.0548,1.06717,0.53885,0.70961,0.49898,0.19631,1.97599,4.19668,1.08706,0.0013268,0.0013268,0.0013268
19,2667.46,1.95919,1.05356,1.06318,0.72959,0.71268,0.70309,0.29197,1.92191,1.31484,1.07326,0.0012872,0.0012872,0.0012872
20,2799.14,1.91448,1.0212,1.05933,0.78824,0.71677,0.76398,0.33147,1.8734,1.06746,1.07478,0.0012476,0.0012476,0.0012476
21,2931.94,1.9012,1.01344,1.03796,0.79729,0.70781,0.78764,0.33436,1.92689,1.08155,1.07213,0.001208,0.001208,0.001208
22,3064.51,1.8913,0.99875,1.03755,0.80264,0.72495,0.79968,0.3498,1.85119,1.03757,1.05812,0.0011684,0.0011684,0.0011684
23,3196.11,1.91498,1.01415,1.05724,0.75797,0.70128,0.70775,0.29399,1.93413,1.22811,1.08872,0.0011288,0.0011288,0.0011288
24,3334.26,1.89651,0.99482,1.0369,0.69666,0.73738,0.64599,0.27375,1.87349,1.80129,1.0705,0.0010892,0.0010892,0.0010892
25,3491.04,1.85456,0.97735,1.03739,0.79383,0.72835,0.73619,0.32435,1.84206,1.10273,1.06613,0.0010496,0.0010496,0.0010496
26,3643.86,1.89395,0.9799,1.04404,0.6767,0.77046,0.63402,0.26637,1.86748,2.17622,1.0675,0.00101,0.00101,0.00101
27,3784.5,1.87734,0.98342,1.04249,0.77964,0.75869,0.75091,0.32506,1.86654,1.29044,1.06548,0.0009704,0.0009704,0.0009704
28,3917.95,1.85387,0.95883,1.05156,0.82954,0.73108,0.82397,0.36455,1.86424,0.99405,1.0563,0.0009308,0.0009308,0.0009308
29,4051.31,1.85704,0.94613,1.02442,0.82574,0.71708,0.81123,0.36703,1.8354,1.016,1.04654,0.0008912,0.0008912,0.0008912
30,4183.37,1.8752,0.9736,1.02971,0.82872,0.70859,0.81923,0.36042,1.86354,1.01285,1.05575,0.0008516,0.0008516,0.0008516
31,4315.45,1.85002,0.94915,1.03672,0.79835,0.75971,0.82139,0.35329,1.87153,1.01405,1.054,0.000812,0.000812,0.000812
32,4448.29,1.84479,0.93268,1.02679,0.84485,0.73517,0.83133,0.38151,1.84973,0.96341,1.05222,0.0007724,0.0007724,0.0007724
33,4581.15,1.81422,0.93189,1.02521,0.82366,0.76416,0.83558,0.36936,1.85199,0.99639,1.04801,0.0007328,0.0007328,0.0007328
