epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,286.147,2.29405,1.80659,1.15988,0.57406,0.6135,0.57095,0.20569,2.05655,2.21896,1.10581,0.00065,0.00065,0.00065
2,580.386,2.07019,1.29086,1.10417,0.6914,0.65518,0.70952,0.28837,2.00915,1.32614,1.15588,0.0012906,0.0012906,0.0012906
3,862.853,2.09908,1.24749,1.13397,0.49255,0.4591,0.38693,0.1328,2.25199,1.59215,1.18345,0.00190479,0.00190479,0.00190479
4,1143.75,2.06831,1.24019,1.09787,0.68881,0.63598,0.67351,0.26827,1.95329,1.58177,1.09273,0.0018812,0.0018812,0.0018812
5,1427.15,2.02045,1.17827,1.09451,0.76252,0.71063,0.75275,0.30388,1.96717,1.12565,1.11944,0.0018416,0.0018416,0.0018416
6,1712.63,2.02952,1.13325,1.09974,0.67249,0.68236,0.69272,0.27217,2.0055,1.51018,1.10863,0.001802,0.001802,0.001802
7,1988.32,2.00769,1.07655,1.09571,0.77315,0.70394,0.77085,0.31945,1.94349,1.1072,1.09133,0.0017624,0.0017624,0.0017624
8,2263.36,1.99403,1.08647,1.07968,0.75237,0.6648,0.74314,0.31401,1.98032,1.29983,1.11005,0.0017228,0.0017228,0.0017228
9,2539.05,1.99978,1.07673,1.08043,0.79766,0.7045,0.77881,0.33625,1.9183,1.05727,1.08889,0.0016832,0.0016832,0.0016832
10,2812.87,1.94348,1.05285,1.07218,0.80094,0.72495,0.79887,0.35098,1.86562,1.07598,1.06403,0.0016436,0.0016436,0.0016436
11,3088.22,1.93602,1.04211,1.07034,0.79049,0.69121,0.76343,0.32427,1.93264,1.06774,1.07704,0.001604,0.001604,0.001604
12,3361.88,1.95587,1.00893,1.08263,0.78478,0.70654,0.79122,0.34222,1.98308,1.05041,1.09106,0.0015644,0.0015644,0.0015644
13,3634.2,1.92589,1.0106,1.06369,0.78166,0.69915,0.76639,0.33127,1.88715,1.06361,1.07248,0.0015248,0.0015248,0.0015248
14,3903.12,1.9174,1.01695,1.0436,0.75961,0.64213,0.74222,0.30786,1.97335,1.09571,1.08736,0.0014852,0.0014852,0.0014852
15,4172.96,1.90168,0.99065,1.06354,0.80628,0.75328,0.81194,0.35514,1.87641,0.9985,1.0788,0.0014456,0.0014456,0.0014456
16,4448.44,1.90611,0.99472,1.05682,0.81015,0.74131,0.79562,0.35483,1.89486,1.00765,1.07502,0.001406,0.001406,0.001406
17,4719,1.85929,0.95895,1.04999,0.78289,0.76692,0.82165,0.36879,1.87247,0.97347,1.05642,0.0013664,0.0013664,0.0013664
18,4990.5,1.84039,0.94002,1.03644,0.80303,0.74847,0.81859,0.36685,1.8949,0.9815,1.06302,0.0013268,0.0013268,0.0013268
19,5259.45,1.84811,0.95435,1.03872,0.80292,0.75971,0.82325,0.36754,1.82579,1.0104,1.05309,0.0012872,0.0012872,0.0012872
20,5528.35,1.82704,0.94296,1.03926,0.80086,0.77301,0.82475,0.37517,1.85005,0.95737,1.06172,0.0012476,0.0012476,0.0012476
21,5798.6,1.83393,0.93518,1.02066,0.7934,0.79959,0.83516,0.36835,1.8605,0.96765,1.06012,0.001208,0.001208,0.001208
22,6072.88,1.80834,0.91115,1.01849,0.82622,0.78425,0.8468,0.39109,1.81109,0.94608,1.04327,0.0011684,0.0011684,0.0011684
23,6343.79,1.80595,0.92162,1.02577,0.86637,0.74642,0.84186,0.38239,1.84675,0.93413,1.05265,0.0011288,0.0011288,0.0011288
