epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,158.142,4.74286,5.69861,2.23495,0,0,0,0,5.18503,8.96106,2.25759,0.00065,0.00065,0.00065
2,319.215,4.39839,3.86241,2.19272,0,0,0,0,4.89283,7.81179,2.43763,0.0012906,0.0012906,0.0012906
3,470.691,4.53016,3.81539,2.24446,0.66029,0.29141,0.46193,0.17403,4.0439,5.20556,2.25627,0.00190479,0.00190479,0.00190479
4,623.846,4.49912,3.54215,2.20988,0.45005,0.49693,0.41479,0.144,4.27892,4.73236,2.28487,0.0018812,0.0018812,0.0018812
5,774.885,4.2518,3.31955,2.17035,0.53427,0.59509,0.55206,0.19791,4.13802,3.90975,2.23029,0.0018416,0.0018416,0.0018416
6,925.299,4.2451,3.1663,2.17391,0.60552,0.58793,0.60103,0.2405,3.85769,3.54454,2.15648,0.001802,0.001802,0.001802
7,1081.56,4.16241,3.03166,2.15079,0.55504,0.61759,0.5774,0.23466,3.90106,3.57012,2.16894,0.0017624,0.0017624,0.0017624
8,1245.56,4.24196,3.01154,2.16106,0.49308,0.5184,0.45741,0.163,4.09826,4.04937,2.20626,0.0017228,0.0017228,0.0017228
9,1396.18,4.20358,2.84972,2.1465,0.55123,0.6135,0.55223,0.20439,3.83582,3.20034,2.14505,0.0016832,0.0016832,0.0016832
10,1546.64,4.13605,2.8024,2.14074,0.66486,0.62678,0.66672,0.25825,3.89184,2.97012,2.15477,0.0016436,0.0016436,0.0016436
11,1697.01,4.06991,2.68537,2.13458,0.63294,0.63599,0.66585,0.26859,3.85949,2.97198,2.15577,0.001604,0.001604,0.001604
12,1846.01,4.09893,2.60655,2.14438,0.68612,0.62883,0.6803,0.27813,3.9916,2.8007,2.18296,0.0015644,0.0015644,0.0015644
13,1996.24,4.07261,2.60276,2.12756,0.6786,0.66155,0.68701,0.27769,3.84805,2.70914,2.14959,0.0015248,0.0015248,0.0015248
14,2144.56,4.04848,2.55765,2.09272,0.68107,0.63978,0.68468,0.2875,3.82311,2.86226,2.13573,0.0014852,0.0014852,0.0014852
15,2294.62,4.01446,2.5545,2.10524,0.69002,0.65133,0.70953,0.29899,3.80735,2.59681,2.12831,0.0014456,0.0014456,0.0014456
16,2444.23,4.0544,2.49301,2.11718,0.69326,0.61145,0.68141,0.29507,3.90533,2.70155,2.16139,0.001406,0.001406,0.001406
17,2596.16,4.02263,2.45431,2.11303,0.59357,0.61973,0.60101,0.21883,4.13896,3.01918,2.1964,0.0013664,0.0013664,0.0013664
18,2749.13,4.00135,2.44277,2.0899,0.73349,0.64162,0.7168,0.30698,3.78662,2.55773,2.12144,0.0013268,0.0013268,0.0013268
19,2901.52,4.02497,2.4184,2.09082,0.65537,0.71984,0.72987,0.30751,3.72222,2.51345,2.10302,0.0012872,0.0012872,0.0012872
20,3052.65,3.96909,2.38001,2.09371,0.69155,0.71754,0.74438,0.32021,3.70882,2.43022,2.09876,0.0012476,0.0012476,0.0012476
21,3205.58,3.95736,2.31676,2.052,0.69,0.69121,0.72925,0.31351,3.77699,2.47136,2.11611,0.001208,0.001208,0.001208
22,3357.55,3.92608,2.29023,2.04674,0.7451,0.67587,0.75479,0.3236,3.73592,2.41812,2.09943,0.0011684,0.0011684,0.0011684
