epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,140.546,2.37424,2.51416,1.13267,0.00907,0.27812,0.00587,0.00135,2.46108,3.78389,1.2514,0.00065,0.00065,0.00065
2,272.288,2.15826,1.55474,1.10885,0.0239,0.73313,0.26668,0.07719,2.48942,3.00134,1.19561,0.0012906,0.0012906,0.0012906
3,405.402,2.14977,1.48697,1.11131,0.48565,0.47955,0.43055,0.14751,2.25133,2.18997,1.12612,0.00190479,0.00190479,0.00190479
4,529.137,2.11166,1.3939,1.09081,0.66715,0.62372,0.66388,0.25555,2.05132,1.46276,1.1035,0.0018812,0.0018812,0.0018812
5,651.647,2.10417,1.34991,1.09992,0.72812,0.60123,0.67026,0.25398,2.06615,1.49679,1.12032,0.0018416,0.0018416,0.0018416
6,775.321,2.12,1.36065,1.10594,0.62387,0.61043,0.61451,0.22078,2.19452,1.55249,1.13997,0.001802,0.001802,0.001802
7,896.913,2.07468,1.28162,1.09584,0.73402,0.64826,0.70259,0.28929,2.00503,1.31999,1.09496,0.0017624,0.0017624,0.0017624
8,1017.72,2.05727,1.29202,1.08143,0.74436,0.63714,0.71988,0.29339,2.00969,1.29125,1.08502,0.0017228,0.0017228,0.0017228
9,1139.46,2.05271,1.24228,1.08524,0.74148,0.67743,0.72315,0.30449,1.96781,1.28997,1.07884,0.0016832,0.0016832,0.0016832
10,1260.51,2.00253,1.22338,1.07503,0.76048,0.67527,0.74979,0.31611,1.95288,1.2105,1.07659,0.0016436,0.0016436,0.0016436
11,1380.97,1.9983,1.18733,1.08037,0.74496,0.682,0.75827,0.30706,1.96476,1.22052,1.07655,0.001604,0.001604,0.001604
12,1500.87,2.00718,1.15154,1.08246,0.73474,0.71677,0.73424,0.30161,1.97025,1.20992,1.08485,0.0015644,0.0015644,0.0015644
13,1621.38,1.98436,1.14598,1.06573,0.7579,0.68814,0.75614,0.31348,1.93942,1.15128,1.07165,0.0015248,0.0015248,0.0015248
14,1741.35,1.99068,1.13309,1.05064,0.72533,0.67235,0.7343,0.2999,1.97043,1.21814,1.06895,0.0014852,0.0014852,0.0014852
15,1861.17,1.9438,1.11986,1.05733,0.78684,0.69071,0.76379,0.31883,1.962,1.16252,1.07076,0.0014456,0.0014456,0.0014456
16,1981.96,1.98005,1.12136,1.06815,0.78428,0.66913,0.74508,0.31856,1.94099,1.16866,1.07899,0.001406,0.001406,0.001406
17,2101.6,1.94937,1.09101,1.0636,0.74453,0.66155,0.73409,0.30753,1.97551,1.18376,1.07393,0.0013664,0.0013664,0.0013664
18,2222.17,1.93093,1.0977,1.04782,0.75943,0.72086,0.78612,0.32945,1.93697,1.1717,1.06327,0.0013268,0.0013268,0.0013268
19,2342.9,1.93332,1.07664,1.04471,0.80718,0.71056,0.79918,0.34454,1.90462,1.11532,1.0575,0.0012872,0.0012872,0.0012872
20,2462.94,1.92674,1.06017,1.05428,0.79125,0.72597,0.78128,0.34017,1.90341,1.1103,1.06494,0.0012476,0.0012476,0.0012476
21,2585.56,1.9195,1.04655,1.03418,0.76478,0.70757,0.78212,0.32941,1.91802,1.10967,1.05877,0.001208,0.001208,0.001208
22,2706.85,1.89286,1.02524,1.02857,0.78418,0.71703,0.79279,0.34458,1.92328,1.07671,1.06158,0.0011684,0.0011684,0.0011684
23,2827.51,1.92529,1.04921,1.04717,0.80447,0.73824,0.80238,0.34025,1.92748,1.05071,1.06288,0.0011288,0.0011288,0.0011288
