epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,569.313,2.23139,1.59192,1.15073,0.64018,0.58487,0.61596,0.23566,2.07867,1.67306,1.15226,0.00065,0.00065,0.00065
2,1131.72,2.06307,1.21419,1.12346,0.52753,0.49284,0.39308,0.13579,2.28043,2.1782,1.25296,0.0012906,0.0012906,0.0012906
3,1689.89,2.07193,1.17259,1.13202,0.6106,0.61889,0.5917,0.2183,2.10847,3.22951,1.16194,0.00190479,0.00190479,0.00190479
4,2243.89,2.12901,1.1744,1.11891,0.03244,0.16053,0.01458,0.00461,3.26168,11.1968,1.59583,0.0018812,0.0018812,0.0018812
5,2790.63,2.02585,1.17311,1.09735,0.72912,0.63292,0.67844,0.26825,2.01044,2.91975,1.13036,0.0018416,0.0018416,0.0018416
6,3336.11,2.09487,1.15468,1.12235,0.73183,0.65235,0.68735,0.27055,2.01042,1.80644,1.12822,0.001802,0.001802,0.001802
7,3891.3,2.0027,1.08301,1.09565,0.75413,0.71191,0.75563,0.32139,1.93599,1.18991,1.08816,0.0017624,0.0017624,0.0017624
8,4452.58,1.98536,1.0814,1.08782,0.77752,0.70245,0.76017,0.32672,1.92286,1.17702,1.09623,0.0017228,0.0017228,0.0017228
9,4998.39,2.00436,1.07159,1.08633,0.71273,0.60884,0.68112,0.25494,2.07083,1.20764,1.1178,0.0016832,0.0016832,0.0016832
10,5536.82,1.95325,1.0523,1.07837,0.72659,0.70348,0.74995,0.31113,1.9195,1.15729,1.07896,0.0016436,0.0016436,0.0016436
11,6071.29,1.9436,1.03698,1.07648,0.79389,0.6728,0.76664,0.3225,1.94422,1.09593,1.08611,0.001604,0.001604,0.001604
12,6605.01,1.94118,1.00653,1.08462,0.80556,0.68405,0.77633,0.31768,2.01391,1.07532,1.10141,0.0015644,0.0015644,0.0015644
13,7139.63,1.92511,1.01912,1.06696,0.81999,0.71261,0.77891,0.32841,1.90817,1.15035,1.09339,0.0015248,0.0015248,0.0015248
14,7674.7,1.90958,1.01186,1.04731,0.80812,0.72349,0.79829,0.34939,1.89426,1.03327,1.07562,0.0014852,0.0014852,0.0014852
15,8208.26,1.88746,0.99662,1.06304,0.78485,0.72495,0.78826,0.34124,1.85336,1.11628,1.05705,0.0014456,0.0014456,0.0014456
16,8750.58,1.89832,0.97524,1.05982,0.84283,0.73006,0.81965,0.36818,1.87606,0.99737,1.0689,0.001406,0.001406,0.001406
17,9283.3,1.8559,0.95886,1.05195,0.78712,0.68405,0.784,0.33001,1.94992,1.04755,1.07437,0.0013664,0.0013664,0.0013664
18,9818.35,1.84452,0.94713,1.03941,0.81044,0.70381,0.77657,0.34355,1.88375,1.01881,1.06808,0.0013268,0.0013268,0.0013268
19,10353.6,1.87159,0.96437,1.04711,0.82507,0.74269,0.81539,0.36408,1.82895,0.98761,1.0601,0.0012872,0.0012872,0.0012872
20,10885.1,1.81875,0.95281,1.03813,0.8191,0.76176,0.81263,0.35482,1.88374,0.96288,1.06963,0.0012476,0.0012476,0.0012476
21,11420.9,1.80864,0.91111,1.01684,0.82975,0.75665,0.83725,0.36763,1.85961,0.9373,1.06064,0.001208,0.001208,0.001208
22,11955.7,1.79947,0.89543,1.01496,0.81654,0.76908,0.82502,0.37532,1.82683,0.95362,1.05602,0.0011684,0.0011684,0.0011684
23,12486.9,1.80631,0.90144,1.0308,0.81809,0.76687,0.83185,0.38054,1.83357,0.93269,1.05578,0.0011288,0.0011288,0.0011288
24,13017.1,1.79641,0.90771,1.01226,0.83171,0.76278,0.83773,0.37694,1.84541,0.94743,1.06319,0.0010892,0.0010892,0.0010892
25,13546.5,1.77093,0.89162,1.01556,0.82723,0.76789,0.82679,0.37274,1.79733,0.9538,1.04488,0.0010496,0.0010496,0.0010496
26,14077.3,1.77363,0.87952,1.01445,0.84778,0.7631,0.83839,0.38546,1.80141,0.9305,1.04457,0.00101,0.00101,0.00101
27,14606.6,1.77179,0.85749,1.01679,0.78973,0.79109,0.83839,0.3729,1.85095,0.9589,1.05406,0.0009704,0.0009704,0.0009704
28,15134.8,1.74864,0.86354,1.02418,0.81641,0.76176,0.8302,0.36757,1.85007,0.95062,1.05413,0.0009308,0.0009308,0.0009308
29,15675.9,1.74623,0.85548,0.99996,0.81098,0.76771,0.82502,0.36343,1.88904,0.95514,1.06601,0.0008912,0.0008912,0.0008912
